言葉,ことば,Word,,JLPT,,
意思,いし,Intention,Jaune,,,
再開,さいかい,Resume,Jaune,,,
伝統,でんとう,Tradition,Jaune,,Total,332
規則,Kisoku,Rules,Jaune,,Vert,271
投資,とうし,Investment,Jaune,,Jaune,39
習慣,shûkan,habit,Jaune,x,Rouge,21
反射し,はんしゃし,Reflect,Jaune,,JLPT,17
金額,きんがく,Money Amount,Jaune,,,
論文,ろんぶん,paper,Jaune,,,
資料,shiryô,Document,Jaune,x,,
石油,せきゆ,Petrol,Jaune,,,
無断,mudan,unauthorized,Jaune,,,
予想,よそう,Expectation,Jaune,,,
異例,irei,Unusual,Jaune,,,
添削,Tensaku,Correction,Jaune,,,
冷静,reisei,Calm,Jaune,,,
成分,せいぶん,Component,Jaune,,,
性能,せいのう,Performance,Jaune,,,
蹴った,けった,Kicked,Jaune,,,
騒動,soudou,Agitation,Jaune,,,
国籍,こくせき,citizenship,Jaune,,,
認可,Ninka,Authorization,Jaune,,,
冒険,ぼうけん,Adventure,Jaune,,,
無駄,Muda,Pointless,Jaune,,,
混乱,konran,Confusion,Jaune,,,
貼って,はって,Paste,Jaune,,,
行動,koudou,Action,Jaune,,,
攻撃,こうげき,Attack,Jaune,,,
赤道,せきどう,Equator,Jaune,,,
満杯,Manpai,Full,Jaune,,,
完璧,Kanpeki,Perfect,Jaune,,,
証明,しょうめい,Proof,Jaune,,,
値する,Ataisuru,To deserve,Jaune,,,
滞在,taizai,stay,Jaune,,,
活躍,katsuyaku,Active,Jaune,,,
お目にかかる,,会う,Jaune,,,
お目にかける,,見せる,Jaune,,,
ちょうだいする,,もらう,Jaune,,,
存じ上げる,,知る,Jaune,,,
やっかいな,,Troublesome,Rouge,,,
ずるいぞ,,Clever,Rouge,,,
がっかり,,Disappointed,Rouge,,,
診断書,しんだんしょ,Medical Certificate,Rouge,,,
１つずつ + verb,,one at a time,Rouge,,,
しかいません,,There is only (them),Rouge,,,
熱帯,ねったい,Tropical,Rouge,,,
灰皿,はいざら,Ashes,Rouge,,,
影響する,eikyousuru,Affecter/impacter,Rouge,,,
停電,teiden,blackout,Rouge,,,
規模,kibo,Scale/scope,Rouge,,,
範囲,Han'i,Range,Rouge,,,
